iter	Accuracy	MultiClass
91	0.6645435244	1.567455032
92	0.6602972399	1.566980613
93	0.6624203822	1.566469304
94	0.6645435244	1.566096602
95	0.6624203822	1.56569274
96	0.6539278132	1.565309596
97	0.6518046709	1.564887843
98	0.6539278132	1.564498762
99	0.6539278132	1.564061484
100	0.6602972399	1.563596502
101	0.6602972399	1.563178042
102	0.6560509554	1.562843303
103	0.6560509554	1.562383138
104	0.6560509554	1.561938039
105	0.6539278132	1.561502591
106	0.6560509554	1.561092408
107	0.6518046709	1.560640515
108	0.6518046709	1.560239069
109	0.6518046709	1.55979476
110	0.6560509554	1.559371178
111	0.6539278132	1.559002827
112	0.6518046709	1.558514629
113	0.6518046709	1.558142111
114	0.6560509554	1.557682303
115	0.6539278132	1.557272447
116	0.6560509554	1.557055839
117	0.6581740977	1.556633137
118	0.6581740977	1.55611559
119	0.6666666667	1.555647502
120	0.6666666667	1.555113368
121	0.6666666667	1.554819062
122	0.6645435244	1.554379283
123	0.6560509554	1.553985914
124	0.6581740977	1.5535206
125	0.6518046709	1.55308591
126	0.6602972399	1.552693916
127	0.6602972399	1.552267144
128	0.6539278132	1.551886032
129	0.6624203822	1.551394606
130	0.6581740977	1.550934334
131	0.6602972399	1.550512643
132	0.6645435244	1.550131895
133	0.6624203822	1.549667542
134	0.6624203822	1.549238064
135	0.6645435244	1.548723882
136	0.6645435244	1.548303404
137	0.6687898089	1.54795728
138	0.6709129512	1.54748609
139	0.6709129512	1.547021202
140	0.6730360934	1.546652164
141	0.6730360934	1.546188684
142	0.6730360934	1.545859351
143	0.6687898089	1.545437949
144	0.6687898089	1.544983016
145	0.6730360934	1.544596903
146	0.6751592357	1.544231349
147	0.6730360934	1.543828397
148	0.6709129512	1.54350343
149	0.6730360934	1.543209068
150	0.6730360934	1.54287833
151	0.6751592357	1.542457028
152	0.6709129512	1.54202321
153	0.6709129512	1.541686364
154	0.6687898089	1.54133503
155	0.6709129512	1.540866836
156	0.6730360934	1.540450113
157	0.6709129512	1.540089287
158	0.6751592357	1.539752854
159	0.6709129512	1.539327533
160	0.6730360934	1.538893298
161	0.6709129512	1.538419089
162	0.6709129512	1.538049665
163	0.6666666667	1.537625634
164	0.6687898089	1.537269991
165	0.6709129512	1.53686964
166	0.6730360934	1.536440613
167	0.6709129512	1.536087255
168	0.6687898089	1.535614628
169	0.6709129512	1.535266722
170	0.6709129512	1.534888983
171	0.6687898089	1.534499977
172	0.6751592357	1.534184372
173	0.6772823779	1.533822282
174	0.6730360934	1.533398462
175	0.6709129512	1.532993163
176	0.6709129512	1.532582367
177	0.6709129512	1.532134783
178	0.6730360934	1.531775004
179	0.6730360934	1.531423569
180	0.6730360934	1.531003004
181	0.6794055202	1.530680668
182	0.6772823779	1.530277072
183	0.6751592357	1.529930579
184	0.6772823779	1.529541436
185	0.6751592357	1.529264052
186	0.6751592357	1.528900772
187	0.6751592357	1.528655962
188	0.6772823779	1.528376132
189	0.6772823779	1.527993585
190	0.6772823779	1.52767173
191	0.6730360934	1.527472471
192	0.6751592357	1.527064042
193	0.6772823779	1.526636379
194	0.6772823779	1.52636627
195	0.6772823779	1.525944668
196	0.6772823779	1.525611577
197	0.6772823779	1.525200493
198	0.6772823779	1.524810824
199	0.6794055202	1.524451633
200	0.6751592357	1.524016136
201	0.6730360934	1.523656126
202	0.6730360934	1.523264199
203	0.6751592357	1.522857236
204	0.6730360934	1.522415028
205	0.6730360934	1.522014026
206	0.6730360934	1.521697966
207	0.6730360934	1.521341827
208	0.6709129512	1.520915811
209	0.6730360934	1.520538566
210	0.6730360934	1.520022532
211	0.6772823779	1.519577767
212	0.6772823779	1.519256836
213	0.6772823779	1.518802106
214	0.6772823779	1.518412782
215	0.6772823779	1.518047846
216	0.6772823779	1.517707863
217	0.6751592357	1.517289338
218	0.6751592357	1.516999555
219	0.6772823779	1.516610192
220	0.6772823779	1.516257077
221	0.6772823779	1.515981168
222	0.6772823779	1.515672241
223	0.6772823779	1.515194333
224	0.6751592357	1.514793651
225	0.6730360934	1.514424905
226	0.6751592357	1.514119541
227	0.6751592357	1.51374342
228	0.6751592357	1.513438492
229	0.6751592357	1.513041586
230	0.6751592357	1.51267002
231	0.6772823779	1.512252183
232	0.6709129512	1.511930323
233	0.6772823779	1.51147397
234	0.6709129512	1.511150303
235	0.6730360934	1.510773489
236	0.6751592357	1.510321251
237	0.6772823779	1.509880224
238	0.6772823779	1.509475025
239	0.6772823779	1.509083792
240	0.6751592357	1.508822808
241	0.6751592357	1.508414432
242	0.6772823779	1.507946218
243	0.6751592357	1.507599743
244	0.6730360934	1.507268881
245	0.6730360934	1.506878718
246	0.6772823779	1.506507208
247	0.6794055202	1.506154606
248	0.6772823779	1.505800919
249	0.6794055202	1.505563336
250	0.6794055202	1.50519504
251	0.6772823779	1.504943219
252	0.6772823779	1.504468083
253	0.6751592357	1.504065864
254	0.6751592357	1.50377074
255	0.6751592357	1.503440893
256	0.6730360934	1.503043381
257	0.6730360934	1.502695385
258	0.6709129512	1.502330803
259	0.6687898089	1.501961265
260	0.6709129512	1.501603373
261	0.6751592357	1.50112796
262	0.6730360934	1.500773934
